,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
4249,Spain,Data Analyst,"2,000-2,999",Python,Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4271,China,Data Analyst,0-999,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,unknown,joven
4296,India,Data Analyst,"10,000-14,999",Python,"RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4304,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"25,000-29,999","Python, SQL, C++","Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook", Matplotlib ,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4322,India,Data Analyst,"25,000-29,999", SQL,Visual Studio , None,"Analyze and understand data to influence product or business decisions, Other",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4329,Other,Data Analyst,"15,000-19,999","Python, SQL","Visual Studio ,Visual Studio Code (VSCode) , Notepad++"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4357,Canada,Data Analyst,0-999,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
4366,Colombia,Data Analyst,unknown,"Python, R, SQL, MATLAB","RStudio ,Visual Studio ,Jupyter Notebook"," Matplotlib ,Shiny ",unknown,Man,unknown,joven
4388,Bangladesh,Data Analyst,0-999,"Python, C, C++","Visual Studio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4389,China,Data Analyst,"4,000-4,999","Python, SQL, Javascript, Other","Visual Studio ,Visual Studio Code (VSCode) ,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4395,France,Data Analyst,"30,000-39,999","Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Altair ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4424,United States of America,Data Analyst,"125,000-149,999","Python, R, SQL","RStudio ,PyCharm , Spyder, Notepad++,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mayor
4435,India,Data Analyst,"25,000-29,999","Python, SQL, C, Java",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,Other,joven
4446,Singapore,Data Analyst,"30,000-39,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4456,United Arab Emirates,Data Analyst,"7,500-9,999",Python,"Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4461,India,Data Analyst,0-999,unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,mediana
4489,Japan,Data Analyst,"40,000-49,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",mediana
4499,India,Data Analyst,0-999,"Python, SQL, Java","RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4548,Taiwan,Data Analyst,0-999,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ", Matplotlib ,Build and/or run a machine learning service that operationally improves my product or workflows,Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
4552,Germany,Data Analyst,"50,000-59,999","Python, SQL","Jupyter Notebook, Other", None,None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4561,India,Data Analyst,0-999,"Python, C, C++, Java, MATLAB","Visual Studio ,Visual Studio Code (VSCode) , Spyder,MATLAB "," Matplotlib ,Ggplot / ggplot2 ,Altair ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4568,Taiwan,Data Analyst,"3,000-3,999","Python, SQL, C++",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ",Build prototypes to explore applying machine learning to new areas,Man,unknown,mediana
4579,India,Data Analyst,unknown,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",unknown,Man,unknown,joven
4589,India,Data Analyst,"70,000-79,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
4592,Germany,Data Analyst,"40,000-49,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
4608,Indonesia,Data Analyst,"7,500-9,999"," R, SQL",RStudio , Other,None of these activities are an important part of my role at work,Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",mediana
4620,Russia,Data Analyst,"15,000-19,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Notepad++,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4623,Brazil,Data Analyst,"20,000-24,999"," R, SQL, Other","RStudio ,PyCharm ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4627,Brazil,Data Analyst,"3,000-3,999","Python, SQL, Java, Javascript, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4649,Bangladesh,Data Analyst,0-999,Python,Jupyter Notebook, Matplotlib ,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
4650,India,Data Analyst,"20,000-24,999","Python, SQL, Java","Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4676,India,Data Analyst,"25,000-29,999", Javascript, Notepad++, Other,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
4693,India,Data Analyst,unknown,"Python, SQL, C, C++, Java, Javascript, Bash, MATLAB, Other",unknown,unknown,unknown,Man,unknown,joven
4694,United States of America,Data Analyst,"100,000-124,999","Python, SQL, Javascript, Bash","Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4700,Nigeria,Data Analyst,0-999,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4706,Argentina,Data Analyst,"25,000-29,999"," R, SQL, Javascript","RStudio ,Visual Studio ","Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mayor
4718,Indonesia,Data Analyst,0-999," R, SQL",RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4729,India,Data Analyst,"7,500-9,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Woman,unknown,mediana
4730,India,Data Analyst,unknown,"Python, R, SQL","RStudio ,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Other",Man,unknown,mediana
4732,Turkey,Data Analyst,"10,000-14,999","Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
4734,Other,Data Analyst,0-999,Python,Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mayor
4750,Ecuador,Data Analyst,"1,000-1,999","Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4760,Ghana,Data Analyst,0-999,"Python, SQL","Visual Studio , Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
4771,India,Data Analyst,unknown,"Python, R, SQL, Java","RStudio ,PyCharm ,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",unknown,Man,unknown,joven
4801,Canada,Data Analyst,"60,000-69,999", SQL,"Visual Studio ,Visual Studio Code (VSCode) , Notepad++, Sublime Text", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4844,Pakistan,Data Analyst,"3,000-3,999", SQL, Other, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
4862,Ethiopia,Data Analyst,unknown,"Python, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder, Notepad++,MATLAB "," Matplotlib ,Plotly / Plotly Express ",unknown,Man,unknown,joven
4871,Mexico,Data Analyst,"1,000-1,999","Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Sublime Text"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4891,India,Data Analyst,"1,000-1,999"," SQL, C, Java",Visual Studio ,Seaborn ,Experimentation and iteration to improve existing ML models,Man,unknown,joven
4896,United States of America,Data Analyst,0-999," SQL, Other", None, None,None of these activities are an important part of my role at work,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
4911,Mexico,Data Analyst,"1,000-1,999","Python, R","RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4922,United States of America,Data Analyst,"70,000-79,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
4935,Greece,Data Analyst,"5,000-7,499","Python, R, SQL, C, MATLAB","RStudio ,Visual Studio , Spyder",Ggplot / ggplot2 ,None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
4957,India,Data Analyst,"1,000-1,999","Python, SQL","Visual Studio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,unknown,joven
4962,India,Data Analyst,"40,000-49,999","Python, R, SQL, Bash","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
4969,India,Data Analyst,0-999,"Python, SQL","Visual Studio , Other",Seaborn ,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
4978,Other,Data Analyst,"40,000-49,999","Python, SQL, Javascript, Bash, Other"," Sublime Text, Vim / Emacs,Jupyter Notebook, Other","Plotly / Plotly Express ,D3 js , Other","Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Prefer not to say,unknown,mediana
4995,United States of America,Data Analyst,unknown,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Spyder, Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,joven
5013,Nigeria,Data Analyst,"1,000-1,999","Python, SQL",Visual Studio , None,Analyze and understand data to influence product or business decisions,Man,unknown,mediana
5014,India,Data Analyst,unknown," C++, Java","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,unknown,Woman,unknown,joven
5016,Indonesia,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Altair ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
5018,Mexico,Data Analyst,"20,000-24,999",Python,"Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Leaflet / Folium ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5021,Singapore,Data Analyst,"70,000-79,999","Python, R","RStudio ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5043,Other,Data Analyst,0-999,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5044,India,Data Analyst,0-999,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn , Other",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5049,India,Data Analyst,unknown,"Python, C, C++","Visual Studio Code (VSCode) ,PyCharm , Spyder,Jupyter Notebook", Matplotlib ,unknown,Man,unknown,joven
5050,Canada,Data Analyst,unknown,"Python, Javascript, MATLAB","PyCharm , Sublime Text,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",unknown,Woman,unknown,mediana
5055,India,Data Analyst,"60,000-69,999","Python, R, SQL","RStudio , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
5057,Japan,Data Analyst,"80,000-89,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Vim / Emacs,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",mediana
5072,India,Data Analyst,"5,000-7,499",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
5086,Singapore,Data Analyst,"60,000-69,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
5102,Russia,Data Analyst,"10,000-14,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
5109,Mexico,Data Analyst,0-999,"Python, SQL","RStudio ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
5126,United States of America,Data Analyst,"70,000-79,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5132,United States of America,Data Analyst,"100,000-124,999",Python,Visual Studio ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,mediana
5146,India,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
5155,Germany,Data Analyst,"125,000-149,999","Python, R, SQL",RStudio ," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5161,Other,Data Analyst,"30,000-39,999","Python, R, SQL","RStudio , Spyder,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
5165,India,Data Analyst,0-999, SQL,Jupyter Notebook, None,Other,Man,unknown,mediana
5172,India,Data Analyst,unknown,"Python, SQL, Other",Jupyter Notebook,unknown,unknown,Man,unknown,mediana
5196,Brazil,Data Analyst,"25,000-29,999",Python,Jupyter Notebook, None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
5197,Australia,Data Analyst,0-999,"Python, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
5199,Nigeria,Data Analyst,0-999,Python,PyCharm , None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
5228,Thailand,Data Analyst,"15,000-19,999"," R, SQL, MATLAB","RStudio ,PyCharm ,MATLAB ",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5233,Russia,Data Analyst,"10,000-14,999",Python,"PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
5250,Malaysia,Data Analyst,"7,500-9,999", SQL,"Visual Studio , Notepad++",Geoplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
5252,Japan,Data Analyst,"40,000-49,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
5259,United States of America,Data Analyst,"60,000-69,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ,Geoplotlib ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
5276,Czech Republic,Data Analyst,"2,000-2,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5291,Other,Data Analyst,"2,000-2,999","Python, R, SQL, Java, Javascript","RStudio ,Visual Studio Code (VSCode) ,PyCharm "," Matplotlib ,Plotly / Plotly Express ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
5319,Indonesia,Data Analyst,"1,000-1,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,joven
5322,India,Data Analyst,"4,000-4,999","Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5341,Canada,Data Analyst,"50,000-59,999","Python, R, SQL, C, Java","Visual Studio Code (VSCode) ,Jupyter Notebook, Other"," Matplotlib ,Ggplot / ggplot2 ,Geoplotlib , Other","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,Other,joven
5360,I do not wish to disclose my location,Data Analyst,0-999,"Python, R, SQL", None, None,Analyze and understand data to influence product or business decisions,Woman,unknown,joven
5361,India,Data Analyst,"5,000-7,499",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5376,India,Data Analyst,"15,000-19,999","Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5380,United States of America,Data Analyst,"100,000-124,999", SQL, None, Other,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
5389,South Korea,Data Analyst,"40,000-49,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
5396,Other,Data Analyst,0-999,"Python, SQL, Other","Visual Studio , Sublime Text,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
