,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
3097,India,Data Analyst,"10,000-14,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,unknown,middle
3098,United States of America,Data Analyst,"15,000-19,999","Python, R"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,older
3109,South Korea,Data Analyst,0-999,Python,"Visual Studio Code (VSCode) , Other", None,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3115,Romania,Data Analyst,"25,000-29,999","Python, SQL, Bash","Visual Studio Code (VSCode) , Notepad++, Vim / Emacs,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3123,United States of America,Data Analyst,unknown," R, Other",RStudio ,Ggplot / ggplot2 ,None of these activities are an important part of my role at work,Woman,unknown,younger
3130,India,Data Analyst,0-999,"Python, SQL","PyCharm ,Jupyter Notebook, Other"," Matplotlib ,Seaborn , Other",None of these activities are an important part of my role at work,Woman,Other,younger
3135,India,Data Analyst,0-999,unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3138,India,Data Analyst,0-999,"Python, R, Julia","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3169,Poland,Data Analyst,"10,000-14,999","Python, R, SQL","RStudio ,PyCharm ","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,unknown,younger
3176,Vietnam,Data Analyst,0-999,"Python, SQL, C++",Jupyter Notebook, Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",Man,unknown,younger
3193,India,Data Analyst,0-999,"Python, R, SQL, MATLAB","RStudio ,Visual Studio , Spyder,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3214,Tunisia,Data Analyst,unknown,"Python, R, SQL, C, C++, MATLAB",Visual Studio , Matplotlib ,unknown,Man,unknown,younger
3236,India,Data Analyst,"1,000-1,999","Python, C++, Java","Visual Studio ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Other,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3239,India,Data Analyst,"3,000-3,999","Python, C++, Java","Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3250,United States of America,Data Analyst,"40,000-49,999","Python, Javascript","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3308,Brazil,Data Analyst,"5,000-7,499","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
3325,India,Data Analyst,"15,000-19,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,middle
3326,Nigeria,Data Analyst,0-999, Other,RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3329,Nigeria,Data Analyst,"1,000-1,999","Python, C, C++, Javascript, MATLAB","Visual Studio ,Visual Studio Code (VSCode) , Notepad++,MATLAB ,Jupyter Notebook"," Matplotlib ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3333,Germany,Data Analyst,"60,000-69,999"," R, SQL",RStudio ,"Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
3340,Canada,Data Analyst,"70,000-79,999","Python, R, SQL, C, C++, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3360,India,Data Analyst,"10,000-14,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3363,India,Data Analyst,0-999,"Python, SQL, C, C++, Java, Javascript, Bash",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3387,Netherlands,Data Analyst,"60,000-69,999","Python, SQL","Visual Studio Code (VSCode) , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3388,India,Data Analyst,"5,000-7,499",Python,Jupyter Notebook," Matplotlib ,Seaborn ","Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Prefer to self-describe,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3395,India,Data Analyst,unknown,"Python, C, MATLAB",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",unknown,Woman,unknown,middle
3422,Spain,Data Analyst,"40,000-49,999", SQL,"Visual Studio Code (VSCode) ,PyCharm ", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3429,United States of America,Data Analyst,"60,000-69,999", None,"RStudio ,PyCharm ,Jupyter Notebook","Ggplot / ggplot2 ,Bokeh ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3440,China,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3459,Colombia,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3469,Other,Data Analyst,0-999,"Python, SQL, Javascript"," Spyder, Notepad++"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3489,Australia,Data Analyst,"100,000-124,999"," R, SQL",RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3507,United States of America,Data Analyst,0-999,"Python, R, Java","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ",Other,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
3511,Mexico,Data Analyst,0-999,"Python, MATLAB","Visual Studio Code (VSCode) ,Jupyter Notebook, Other", Matplotlib ,None of these activities are an important part of my role at work,Man,unknown,younger
3516,Other,Data Analyst,"40,000-49,999","Python, Java, Bash, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3528,United States of America,Data Analyst,"50,000-59,999","Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Notepad++","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,unknown,middle
3532,India,Data Analyst,0-999,"Python, SQL, C, C++, Java, Other","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++, Sublime Text,Jupyter Notebook",Seaborn ,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3544,India,Data Analyst,"20,000-24,999","Python, SQL, C++","Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3586,United States of America,Data Analyst,"50,000-59,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder"," Matplotlib , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,unknown,younger
3611,Other,Data Analyst,unknown,"Python, R", None,Seaborn ,unknown,Man,unknown,middle
3626,United States of America,Data Analyst,"40,000-49,999", SQL," Notepad++, Other", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3652,Other,Data Analyst,0-999,"Python, SQL, Java","PyCharm , Spyder,Jupyter Notebook", Matplotlib ,None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3653,Pakistan,Data Analyst,0-999,"Python, R, Javascript","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3659,Colombia,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3669,Germany,Data Analyst,"3,000-3,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3691,India,Data Analyst,"4,000-4,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3720,India,Data Analyst,unknown,"Python, SQL, C, Javascript, Bash","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook",unknown,unknown,Man,unknown,younger
3748,Brazil,Data Analyst,"15,000-19,999","Python, R","RStudio ,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3757,Ecuador,Data Analyst,"2,000-2,999"," R, SQL","RStudio ,Visual Studio Code (VSCode) ","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3767,United States of America,Data Analyst,"80,000-89,999", SQL,"Visual Studio , Notepad++, Sublime Text", None,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3787,United States of America,Data Analyst,"40,000-49,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) , Other"," Matplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3797,Greece,Data Analyst,"25,000-29,999",Python," Spyder,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3798,India,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Woman,unknown,middle
3810,United States of America,Data Analyst,"90,000-99,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
3833,Brazil,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
3846,Germany,Data Analyst,0-999,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,None of these activities are an important part of my role at work,Man,unknown,middle
3852,Spain,Data Analyst,"40,000-49,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
3855,India,Data Analyst,unknown,"Python, MATLAB","Visual Studio Code (VSCode) ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ",unknown,Woman,unknown,younger
3866,India,Data Analyst,"10,000-14,999"," R, Other",RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3867,Nigeria,Data Analyst,0-999,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3893,Bangladesh,Data Analyst,"2,000-2,999","Python, C++",Jupyter Notebook," Matplotlib ,Seaborn ",Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3918,India,Data Analyst,0-999,"Python, R, SQL","RStudio , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,"Advanced statistical software (SPSS, SAS, etc.)",younger
3939,Nigeria,Data Analyst,0-999,"Python, MATLAB","MATLAB ,Jupyter Notebook, Other"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
3945,Australia,Data Analyst,unknown,"Python, SQL, C","PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",unknown,Woman,unknown,younger
3976,China,Data Analyst,"30,000-39,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Sublime Text"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
3977,Egypt,Data Analyst,0-999,Python,Visual Studio , None,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
3988,Egypt,Data Analyst,0-999,Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4010,China,Data Analyst,"3,000-3,999",Python,PyCharm , Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4034,India,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Build and/or run a machine learning service that operationally improves my product or workflows,Woman,unknown,younger
4050,Other,Data Analyst,"3,000-3,999","Python, SQL, C, C++, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
4060,India,Data Analyst,"1,000-1,999","Python, SQL, Java"," Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4067,United States of America,Data Analyst,"90,000-99,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",older
4075,India,Data Analyst,0-999,"Python, SQL, C","Visual Studio ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4086,United States of America,Data Analyst,"70,000-79,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4088,Nigeria,Data Analyst,0-999," R, SQL","RStudio ,Visual Studio Code (VSCode) ", Other,Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",younger
4095,Colombia,Data Analyst,"10,000-14,999","Python, Other"," Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
4114,India,Data Analyst,"5,000-7,499","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4123,Brazil,Data Analyst,"1,000-1,999","Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4135,Other,Data Analyst,0-999,"Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4139,United States of America,Data Analyst,"60,000-69,999",Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4157,Sri Lanka,Data Analyst,"1,000-1,999", SQL,"Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
4162,India,Data Analyst,unknown,"Python, Java","Visual Studio Code (VSCode) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Geoplotlib ",unknown,Man,unknown,younger
4197,Other,Data Analyst,0-999,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,unknown,younger
4206,Brazil,Data Analyst,"3,000-3,999","Python, R, SQL",RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
4210,India,Data Analyst,"3,000-3,999",Python, Spyder," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4234,Singapore,Data Analyst,"2,000-2,999","Python, SQL, Javascript",Visual Studio Code (VSCode) , None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4249,Spain,Data Analyst,"2,000-2,999",Python,Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4271,China,Data Analyst,0-999,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,unknown,younger
4296,India,Data Analyst,"10,000-14,999",Python,"RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4304,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"25,000-29,999","Python, SQL, C++","Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook", Matplotlib ,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4322,India,Data Analyst,"25,000-29,999", SQL,Visual Studio , None,"Analyze and understand data to influence product or business decisions, Other",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4329,Other,Data Analyst,"15,000-19,999","Python, SQL","Visual Studio ,Visual Studio Code (VSCode) , Notepad++"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4357,Canada,Data Analyst,0-999,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
4366,Colombia,Data Analyst,unknown,"Python, R, SQL, MATLAB","RStudio ,Visual Studio ,Jupyter Notebook"," Matplotlib ,Shiny ",unknown,Man,unknown,younger
4388,Bangladesh,Data Analyst,0-999,"Python, C, C++","Visual Studio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4389,China,Data Analyst,"4,000-4,999","Python, SQL, Javascript, Other","Visual Studio ,Visual Studio Code (VSCode) ,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4395,France,Data Analyst,"30,000-39,999","Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Altair ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4424,United States of America,Data Analyst,"125,000-149,999","Python, R, SQL","RStudio ,PyCharm , Spyder, Notepad++,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",older
4435,India,Data Analyst,"25,000-29,999","Python, SQL, C, Java",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,Other,younger
4446,Singapore,Data Analyst,"30,000-39,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4456,United Arab Emirates,Data Analyst,"7,500-9,999",Python,"Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4461,India,Data Analyst,0-999,unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,middle
4489,Japan,Data Analyst,"40,000-49,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",middle
